course,category,institution,type,skills,personality,inclination
Food & Nutrition,"Food, Nutrition & Culinary Arts",Secondary School,Secondary School Subject,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Nutrition & Food Science,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Thinking, Attention to Detail, Creativity, Culinary Skills, Observation, Research, Scientific Method, Time Management",Conscientiousness,Investigative
Computing,Computing & IT,Secondary School,Secondary School Subject,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
Computer Studies,Computing & IT,Secondary School,Secondary School Subject,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Exercise & Sports Science,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Thinking, Coordination, Discipline, Observation, Physical Fitness, Research, Scientific Method, Teamwork",Conscientiousness,Investigative
Drama,Performing Arts & Music,Secondary School,Secondary School Subject,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Electronics,Engineering & Technology,Secondary School,Secondary School Subject,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Biotechnology,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Biology, Laboratory Skills, Research, Scientific Method",Conscientiousness,Investigative
Smart Electrical Technology,Engineering & Technology,Secondary School,Secondary School Subject,"Artistic Expression, Creativity, Engineering Design, Mathematical Skills, Observation, Problem Solving, Technical Drawing, Visual Arts",Openness,Artistic
Mobile Robotics,Engineering & Technology,Secondary School,Secondary School Subject,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
French,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
German,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Japanese,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Spanish,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Malay Special Programme,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Chinese Special Programme,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
General Paper,General/Core Subjects,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Project Work,General/Core Subjects,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Mother Tongue Language,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Knowledge & Inquiry,General/Core Subjects,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Chinese Language & Literature,Languages & Literature,Post secondary,JC Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Malay Language & Literature,Languages & Literature,Post secondary,JC Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Tamil Language & Literature,Languages & Literature,Post secondary,JC Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
English Language & Linguistics,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
French,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
German,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Japanese,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Mathematics,STEM - Science & Mathematics,Post secondary,JC Subject,"Analytical Thinking, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Further Mathematics (H2 only),STEM - Science & Mathematics,Post secondary,JC Subject,"Analytical Thinking, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Physics,STEM - Science & Mathematics,Post secondary,JC Subject,"Mathematical Analysis, Physics, Problem Solving, Scientific Method",Conscientiousness,Investigative
Chemistry,STEM - Science & Mathematics,Post secondary,JC Subject,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
Biology,STEM - Science & Mathematics,Post secondary,JC Subject,"Biology, Laboratory Skills, Research, Scientific Method",Conscientiousness,Investigative
Computing,Computing & IT,Post secondary,JC Subject,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
Economics,"Business, Finance & Management",Post secondary,JC Subject,"Critical Thinking, Data Interpretation, Economic Analysis, Research",Extraversion,Enterprising
Geography,Humanities & Social Sciences,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
History,Humanities & Social Sciences,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Literature in English,Languages & Literature,Post secondary,JC Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Art,"Arts, Design & Visual Arts",Post secondary,JC Subject,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Music,Performing Arts & Music,Post secondary,JC Subject,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Theatre Studies & Drama,Performing Arts & Music,Post secondary,JC Subject,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
China Studies in English,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
China Studies in Chinese,Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Translation (Chinese),Languages & Literature,Post secondary,JC Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Principles of Accounting,"Business, Finance & Management",Post secondary,JC Subject,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Management of Business,"Business, Finance & Management",Post secondary,JC Subject,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
H3 Physics,STEM - Science & Mathematics,Post secondary,JC Subject,"Mathematical Analysis, Physics, Problem Solving, Scientific Method",Conscientiousness,Investigative
H3 Chemistry,STEM - Science & Mathematics,Post secondary,JC Subject,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
H3 Biology,STEM - Science & Mathematics,Post secondary,JC Subject,"Biology, Laboratory Skills, Research, Scientific Method",Conscientiousness,Investigative
H3 Mathematics,STEM - Science & Mathematics,Post secondary,JC Subject,"Analytical Thinking, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
H3 Economics,"Business, Finance & Management",Post secondary,JC Subject,"Critical Thinking, Data Interpretation, Economic Analysis, Research",Extraversion,Enterprising
H3 Geography,Humanities & Social Sciences,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
H3 History,Humanities & Social Sciences,Post secondary,JC Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
H3 Literature in English,Languages & Literature,Post secondary,JC Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
H3 Art,"Arts, Design & Visual Arts",Post secondary,JC Subject,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
H3 Chinese Language & Literature,Languages & Literature,Post secondary,JC Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Basketball,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Extraversion,Social
Football,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Extraversion,Social
Netball,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Volleyball,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Extraversion,Social
Floorball,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Rugby,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Extraversion,Social
Hockey,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Extraversion,Social
Softball,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Water Polo,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Sepak Takraw,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Handball,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Touch Football,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Extraversion,Social
Badminton,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Table Tennis,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Tennis,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Squash,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Bowling,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Golf,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Track & Field,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Cross Country,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Swimming,Sports & Physical Education,Post secondary,CCA,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Shooting (Air Pistol),Sports & Physical Education,Post secondary,CCA,"AI/ML, Data Analysis, Mathematical Modeling, Research",Agreeableness,Social
Shooting (Air Rifle),Sports & Physical Education,Post secondary,CCA,"AI/ML, Data Analysis, Mathematical Modeling, Research",Agreeableness,Social
Fencing,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Judo,Sports & Physical Education,Post secondary,CCA,"Discipline, Martial Arts, Physical Fitness, Self-Control",Agreeableness,Social
Taekwondo,Sports & Physical Education,Post secondary,CCA,"Discipline, Martial Arts, Physical Fitness, Self-Control",Agreeableness,Social
Wushu,Sports & Physical Education,Post secondary,CCA,"Discipline, Martial Arts, Physical Fitness, Self-Control",Agreeableness,Social
Karate,Sports & Physical Education,Post secondary,CCA,"Discipline, Martial Arts, Physical Fitness, Self-Control",Agreeableness,Social
Silat,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Archery,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Sailing,Sports & Physical Education,Post secondary,CCA,"AI/ML, Data Analysis, Mathematical Modeling, Research",Agreeableness,Social
Canoeing,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Kayaking,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Gymnastics (Artistic),Sports & Physical Education,Post secondary,CCA,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Gymnastics (Rhythmic),Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Trampoline,Sports & Physical Education,Post secondary,CCA,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
National Cadet Corps (NCC) - Land,Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
National Cadet Corps (NCC) - Sea,Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
National Cadet Corps (NCC) - Air,Uniformed Groups,Post secondary,CCA,"AI/ML, Data Analysis, Discipline, Leadership, Mathematical Modeling, Physical Fitness, Research, Teamwork",Conscientiousness,Social
National Police Cadet Corps (NPCC),Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
National Civil Defence Cadet Corps (NCDCC),Uniformed Groups,Post secondary,CCA,"Discipline, Engineering Design, Leadership, Mathematical Skills, Physical Fitness, Problem Solving, Teamwork, Technical Drawing",Conscientiousness,Social
Singapore Red Cross Youth,Uniformed Groups,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Conscientiousness,Social
St John Brigade,Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
Boys' Brigade,Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
Girls' Brigade,Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
Girl Guides,Uniformed Groups,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Conscientiousness,Social
Scouts,Uniformed Groups,Post secondary,CCA,"Discipline, Leadership, Physical Fitness, Teamwork",Conscientiousness,Social
Symphonic Band,Performing Arts & Music,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Military Band,Performing Arts & Music,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Concert Band,Performing Arts & Music,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Chinese Orchestra,Performing Arts & Music,Post secondary,CCA,"Communication, Coordination, Cultural Awareness, Discipline, Language Proficiency, Musical Skills, Performance, Writing",Openness,Artistic
String Ensemble,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Choir,Performing Arts & Music,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Angklung Ensemble,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Kulintang Ensemble,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Guzheng Ensemble,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Harmonica Band,Performing Arts & Music,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Guitar Ensemble,Performing Arts & Music,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Gamelan Ensemble,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Modern Dance,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Street Dance,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Chinese Dance,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Communication, Cultural Awareness, Dance, Language Proficiency, Performance, Physical Coordination, Writing",Openness,Artistic
Malay Dance,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Communication, Cultural Awareness, Dance, Language Proficiency, Performance, Physical Coordination, Writing",Openness,Artistic
Indian Dance,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
International Dance,Performing Arts & Music,Post secondary,CCA,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
English Drama,Performing Arts & Music,Post secondary,CCA,"Acting, Communication, Creativity, Cultural Awareness, Language Proficiency, Performance, Public Speaking, Writing",Openness,Artistic
Chinese Drama,Performing Arts & Music,Post secondary,CCA,"Acting, Communication, Creativity, Cultural Awareness, Language Proficiency, Performance, Public Speaking, Writing",Openness,Artistic
Malay Drama,Performing Arts & Music,Post secondary,CCA,"Acting, Communication, Creativity, Cultural Awareness, Language Proficiency, Performance, Public Speaking, Writing",Openness,Artistic
Tamil Drama,Performing Arts & Music,Post secondary,CCA,"Acting, Communication, Creativity, Cultural Awareness, Language Proficiency, Performance, Public Speaking, Writing",Openness,Artistic
Debate & Oratory,Clubs & Societies,Post secondary,CCA,"Argumentation, Critical Thinking, Public Speaking, Research",Extraversion,Social
Scrabble,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Chess (International),Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Chess (Chinese),Clubs & Societies,Post secondary,CCA,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Social
Infocomm Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Robotics Club,Clubs & Societies,Post secondary,CCA,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Openness,Realistic
Astronomy Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Mathematics Society,Clubs & Societies,Post secondary,CCA,"Analytical Thinking, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Science Club,Clubs & Societies,Post secondary,CCA,"Analytical Thinking, Observation, Research, Scientific Method",Openness,Investigative
Photography Club,Clubs & Societies,Post secondary,CCA,"Creativity, Photography, Technical Skills, Visual Composition",Openness,Artistic
Videography Club,Clubs & Societies,Post secondary,CCA,"Animation, Creativity, Photography, Storytelling, Technical Skills, Video Editing, Visual Composition",Openness,Social
AVA Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Journalism Club,Clubs & Societies,Post secondary,CCA,"Communication, Media Production, Research, Writing",Openness,Social
Library Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Green Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Environment Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Outdoor Adventure Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Interact Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Community Service Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Student Council,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Prefectorial Board,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Art Club,Clubs & Societies,Post secondary,CCA,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Music Club,Clubs & Societies,Post secondary,CCA,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Literary Club,Clubs & Societies,Post secondary,CCA,"Communication, Critical Thinking, Literary Analysis, Writing",Openness,Artistic
Entrepreneurship Club,Clubs & Societies,Post secondary,CCA,"Business Management, Decision Making, Leadership, Strategic Planning",Openness,Enterprising
Innovation Club,Clubs & Societies,Post secondary,CCA,"Adaptability, Critical Thinking, Learning",Openness,Social
Applied Chemistry,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Algorithm Design, Analytical Skills, Chemistry, Laboratory Skills, Logical Thinking, Problem Solving, Programming, Scientific Method",Conscientiousness,Investigative
Biologics & Process Technology,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Problem Solving, Research",Conscientiousness,Investigative
Biomedical Science with Analytics,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Biology, Communication, Critical Thinking, Data Analysis, Data Visualization, Empathy, Laboratory Skills, Medical Knowledge, Observation, Patient Care, Research, Scientific Method, Statistical Analysis",Conscientiousness,Investigative
Chemical & Pharmaceutical Technology,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
Common Science Programme,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Food Science & Nutrition,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Attention to Detail, Creativity, Culinary Skills, Observation, Research, Scientific Method, Time Management",Conscientiousness,Investigative
Pharmaceutical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Skills, Analytical Thinking, Chemistry, Laboratory Skills, Observation, Research, Scientific Method",Conscientiousness,Investigative
Architecture,Built Environment & Architecture,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Conscientiousness,Investigative
Accountancy & Finance,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Banking & Finance,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Business Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Common Business Programme,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Food & Beverage Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Attention to Detail, Business Management, Creativity, Culinary Skills, Decision Making, Leadership, Strategic Planning, Time Management",Extraversion,Enterprising
Hospitality & Tourism Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Social
Media & Communication Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Decision Making, Leadership, Media Production, Research, Strategic Planning, Writing",Extraversion,Artistic
Sport & Wellness Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Coordination, Decision Making, Discipline, Leadership, Physical Fitness, Strategic Planning, Teamwork",Extraversion,Enterprising
Business & Financial Technology,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Advanced & Digital Manufacturing,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Realistic
Aerospace Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
AI & Data Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"AI/ML, Critical Thinking, Data Analysis, Data Visualization, Engineering Design, Mathematical Modeling, Mathematical Skills, Problem Solving, Research, Statistical Analysis, Technical Drawing",Conscientiousness,Investigative
Biomedical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Biology, Communication, Empathy, Engineering Design, Laboratory Skills, Mathematical Skills, Medical Knowledge, Patient Care, Problem Solving, Research, Scientific Method, Technical Drawing",Conscientiousness,Investigative
Cloud Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Network Management, Problem Solving, Systems Administration, Technical Drawing, Technical Support, Troubleshooting",Conscientiousness,Realistic
Common Business & Technology Programme,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Common Engineering Programme,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electronic & Computer Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Robotics & Mechatronics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
